Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2012-10-12,Meal 3,1265.0,35.9,13.2,0.0,0.0,0.0,0.0,2202.0,108.0,139.2,24.2,48.1,49.0,0.0,0.0,0.0,0.0
2012-10-12,Meal 4,2082.4,66.7,12.0,3.8,16.5,0.0,0.0,1442.3,435.5,264.6,8.0,43.1,46.5,5.0,103.3,10.4,46.4
2012-10-13,Meal 2,1065.0,31.7,9.9,4.5,6.7,0.0,25.0,2860.0,0.0,48.0,6.0,0.0,53.8,0.0,0.0,0.0,0.0
2012-10-13,Meal 4,1958.6,8.9,4.8,0.5,0.5,0.0,0.0,690.9,255.3,154.0,1.4,20.0,14.3,4.0,82.7,2.5,10.5
2012-10-14,Meal 1,950.0,47.0,12.0,0.0,0.0,0.0,0.0,921.0,0.0,101.0,10.0,9.0,33.0,0.0,0.0,0.0,0.0
2012-10-14,Meal 3,554.0,5.2,0.6,0.0,0.0,0.0,0.0,588.0,0.0,1.4,0.6,0.6,24.8,0.0,0.0,0.0,0.0
2012-10-14,Meal 4,3020.2,49.7,12.5,0.3,16.6,0.0,0.0,2415.0,487.0,220.2,21.0,64.1,24.9,0.0,20.0,28.0,2.0
2012-10-15,Meal 1,850.5,35.8,12.7,6.8,5.1,0.0,0.0,1978.7,1500.0,56.2,3.3,18.9,74.6,0.0,0.0,0.0,0.0
2012-10-15,Meal 2,420.0,16.8,6.0,0.0,0.0,0.0,0.0,960.0,0.0,45.0,5.4,6.0,19.8,0.0,0.0,0.0,0.0
2012-10-15,Meal 3,1896.0,55.3,25.3,0.0,0.0,0.0,0.0,2923.0,0.0,251.2,0.0,60.8,98.8,0.0,0.0,0.0,0.0
2012-10-15,Meal 4,140.0,4.0,2.0,0.0,0.0,0.0,20.0,60.0,0.0,56.0,0.0,52.0,4.0,0.0,0.0,16.0,0.0
2012-10-16,Meal 1,653.9,2.7,0.4,0.0,0.0,0.0,0.0,1175.2,0.0,110.3,53.7,47.8,12.8,0.0,0.0,0.0,115.0
2012-10-16,Meal 2,801.2,18.9,9.7,0.5,2.1,0.0,0.0,910.1,86.1,129.2,27.0,14.4,33.9,0.4,24.9,1.4,2.2
2012-10-16,Meal 3,1106.7,32.9,6.6,5.3,6.3,0.0,365.5,793.2,1100.8,50.0,5.3,2.2,139.1,1.7,0.0,6.4,24.8
2012-10-16,Meal 4,562.4,25.1,6.8,1.2,14.3,0.0,0.0,385.0,0.0,47.7,6.1,29.6,6.8,38.0,14.0,1.0,1.0
2012-10-17,Meal 4,100.0,3.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,24.0,0.0,0.0,0.0
2012-10-18,Meal 1,406.5,25.7,4.5,0.0,0.0,0.0,0.0,7.5,0.0,9.6,6.7,4.9,33.8,7.2,10.2,0.0,0.0
2012-10-18,Meal 3,691.0,42.5,4.3,0.0,0.0,0.0,0.0,564.5,0.0,31.1,1.3,4.9,46.0,0.0,0.0,0.0,0.0
2012-10-18,Meal 4,1567.2,48.0,15.8,0.0,0.0,0.0,355.5,1155.1,1557.6,133.4,6.2,77.2,133.3,24.0,0.0,0.0,0.0
2012-10-19,Meal 1,502.0,11.9,2.1,0.0,0.0,0.0,140.0,96.0,708.0,21.6,0.0,2.7,75.6,0.0,0.0,0.0,0.0
2012-10-19,Meal 3,949.0,47.0,14.0,0.0,0.0,0.0,0.0,1060.0,0.0,91.0,8.0,9.0,36.0,0.0,0.0,0.0,0.0
2012-10-19,Meal 4,1338.8,46.1,19.1,3.2,7.5,0.0,71.0,1173.0,0.0,165.2,7.7,74.8,45.1,32.0,0.0,40.0,1.4
2012-10-20,Meal 1,840.0,6.0,1.2,0.0,0.0,0.0,0.0,2142.0,0.0,177.7,14.5,25.8,30.2,0.0,0.0,0.0,0.0
2012-10-20,Meal 4,1816.0,13.1,7.9,0.0,0.0,0.0,0.0,50.0,0.0,40.5,0.4,27.0,3.1,6.0,0.0,0.0,0.0
2012-10-21,Meal 1,1136.6,54.4,12.0,0.0,0.0,0.0,0.0,1861.0,0.0,121.0,11.4,6.0,34.0,0.0,0.0,0.0,0.0
2012-10-21,Meal 3,845.3,40.6,17.8,4.0,2.0,0.0,0.0,2250.0,0.0,81.7,8.7,3.2,32.7,0.0,0.0,0.0,0.0
2012-10-21,Meal 4,1086.0,40.8,6.1,0.0,0.0,0.0,0.0,60.0,0.0,144.5,12.9,52.3,13.3,18.0,0.0,0.0,0.0
2012-10-22,Meal 1,769.5,14.4,4.8,0.7,1.9,0.0,266.0,645.8,1345.2,46.5,3.6,3.3,110.3,0.0,0.0,0.0,0.0
2012-10-22,Meal 2,584.0,19.6,4.8,0.0,0.0,0.0,50.0,930.5,0.0,61.2,5.3,17.8,41.3,0.0,0.0,0.0,16.0
2012-10-22,Meal 3,738.5,26.7,5.9,5.0,3.4,0.0,0.0,977.5,0.0,58.3,2.3,14.1,63.0,0.0,0.0,0.0,0.0
2012-10-22,Meal 4,75.0,2.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,18.0,0.0,0.0,0.0
2012-10-23,Meal 1,881.7,8.6,2.9,0.0,0.0,0.0,0.0,1437.5,0.0,160.0,12.5,11.5,35.5,0.0,0.0,0.0,0.0
2012-10-23,Meal 2,1436.3,58.5,16.2,10.1,24.7,0.0,0.0,1151.1,187.5,140.3,15.5,25.2,79.2,0.0,0.0,9.0,45.0
2012-10-23,Meal 3,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0
2012-10-23,Meal 4,624.3,11.7,9.0,0.1,0.0,0.0,0.0,403.0,487.0,97.2,16.8,79.6,5.2,38.0,34.0,2.0,23.0
2012-10-24,Meal 1,770.0,33.3,13.1,2.0,13.2,0.6,145.0,670.7,939.6,33.5,3.0,1.4,76.8,0.0,26.1,0.0,4.9
2012-10-24,Meal 2,616.0,4.4,0.9,0.0,0.0,0.0,0.0,1570.8,0.0,130.3,10.6,18.9,22.2,0.0,0.0,0.0,0.0
2012-10-24,Meal 3,1802.7,46.6,12.0,9.4,12.5,0.0,263.5,3058.7,916.8,157.0,8.8,42.8,165.1,7.1,0.0,35.2,32.2
2012-10-24,Meal 4,379.0,12.3,11.1,0.0,0.0,0.0,0.0,300.0,0.0,45.9,0.0,54.3,2.4,24.0,0.0,0.0,0.0
2012-10-25,Meal 2,679.0,17.8,0.0,0.0,0.0,0.0,51.3,1487.7,0.0,48.6,2.7,0.0,18.9,0.0,0.0,0.0,0.0
2012-10-25,Meal 3,770.8,26.5,5.3,0.9,0.9,0.0,0.0,246.0,0.0,94.3,10.8,24.4,21.3,0.0,0.0,0.0,21.3
2012-10-25,Meal 4,1822.8,69.8,25.0,1.4,5.1,0.0,43.0,1646.4,0.0,219.2,10.6,166.0,45.6,31.6,0.0,4.8,9.6
2012-10-26,Meal 1,713.8,26.1,4.5,2.0,1.0,0.0,224.0,558.6,1132.8,28.5,1.5,1.3,87.6,0.0,0.0,0.0,0.0
2012-10-26,Meal 2,1610.0,51.0,27.4,1.8,17.0,0.0,0.0,2569.8,0.0,175.2,16.6,39.0,63.2,0.0,0.0,0.0,0.0
2012-10-26,Meal 3,1816.6,64.6,15.8,0.0,0.0,1.0,80.0,1482.0,0.0,257.8,34.2,74.2,52.0,12.0,4.0,40.0,30.0
2012-10-26,Meal 4,2100.5,103.3,28.4,0.0,0.0,0.6,182.8,4168.0,0.0,183.9,13.8,27.3,67.5,30.0,0.0,0.0,0.0
2012-10-27,Meal 1,938.8,55.9,17.5,3.3,16.1,0.0,20.0,1506.7,0.0,82.3,7.4,4.8,24.5,4.8,0.0,12.0,0.0
2012-10-27,Meal 3,1270.2,36.0,12.1,0.0,0.0,0.0,0.0,282.9,0.0,98.7,0.2,24.4,80.8,0.0,0.0,0.0,0.0
2012-10-27,Meal 4,1086.8,16.8,8.1,0.0,0.0,0.0,0.0,192.7,0.0,147.1,5.8,81.4,8.6,36.0,0.0,0.0,0.0
2012-10-28,Meal 1,563.8,34.6,6.2,1.5,3.6,0.0,260.5,152.8,426.2,8.8,11.1,0.9,29.5,20.3,14.0,9.4,8.3
2012-10-28,Meal 3,3355.0,146.3,49.5,0.0,0.0,1.0,65.0,9400.0,1800.0,350.3,22.6,38.9,162.3,0.0,0.0,0.0,0.0
2012-10-28,Meal 4,1095.8,53.5,27.2,0.8,7.6,0.0,35.0,634.8,0.0,75.3,5.7,84.3,25.1,10.0,14.0,66.0,1.0
2012-10-29,Meal 1,551.5,14.7,2.3,0.0,0.0,0.0,60.0,2065.0,0.0,57.3,4.2,18.6,53.2,0.0,0.0,0.0,24.0
2012-10-29,Meal 3,546.0,30.2,8.3,0.0,0.0,0.0,0.0,960.8,0.0,46.2,7.9,6.4,20.2,0.0,0.0,0.0,0.0
2012-10-29,Meal 4,200.0,4.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,36.0,0.0,0.0,0.0
2012-10-30,Meal 1,760.4,12.8,2.9,0.8,0.6,0.0,0.0,1480.0,0.0,107.4,4.4,16.0,53.7,0.0,0.0,0.0,0.0
2012-10-30,Meal 2,582.3,18.3,3.9,5.2,8.0,0.0,0.0,2590.0,200.0,30.8,3.1,5.0,34.2,2.0,0.0,1.0,4.0
2012-10-30,Meal 3,512.0,9.8,0.8,0.0,0.0,0.0,0.0,720.0,0.0,81.8,12.4,9.6,17.1,0.0,0.0,0.0,0.0
2012-10-30,Meal 4,480.0,12.3,2.7,0.0,0.0,0.0,0.0,2.0,0.0,56.8,4.0,28.6,4.2,38.0,14.0,1.0,1.0
